title,date,project_id
Received by GEF,07 Mar 2014,5730
Preparation Grant Approved,01 Apr 2014,5730
Concept Approved,01 May 2014,5730
Project Approved for Implementation,14 Mar 2016,5730
Project closed,,5730
Received by GEF,13 Mar 2014,5774
Preparation Grant Approved,09 May 2014,5774
Concept Approved,09 May 2014,5774
Project Approved for Implementation,23 Jul 2015,5774
Project closed,,5774
Received by GEF,18 Feb 2014,5705
Concept Approved,24 Jun 2014,5705
Project Approved for Implementation,,5705
Project closed,,5705
Received by GEF,11 Mar 2014,5750
Project Approved for Implementation,13 Mar 2014,5750
Project closed,,5750
Received by GEF,10 Mar 2014,5744
Preparation Grant Approved,14 May 2014,5744
Concept Approved,14 May 2014,5744
Project Approved for Implementation,23 Feb 2016,5744
Received by GEF,04 Feb 2014,5697
Project closed,,5744
Project Approved for Implementation,02 May 2014,5697
Project closed,,5697
Received by GEF,11 Mar 2014,5757
Preparation Grant Approved,13 Jun 2014,5757
Concept Approved,13 Jun 2014,5757
Project Approved for Implementation,,5757
Project closed,,5757
Received by GEF,06 Feb 2014,5698
Preparation Grant Approved,11 Mar 2014,5698
Concept Approved,11 Mar 2014,5698
Project Approved for Implementation,28 Oct 2015,5698
Project closed,,5698
Received by GEF,03 Feb 2014,5696
Project Approved for Implementation,07 Feb 2014,5696
Project closed,30 Jun 2016,5696
Received by GEF,26 Dec 2013,5664
Preparation Grant Approved,20 Feb 2014,5664
Concept Approved,20 Mar 2014,5664
Project Approved for Implementation,02 Nov 2016,5664
Project closed,,5664
Received by GEF,03 Feb 2014,5694
Preparation Grant Approved,01 Jul 2014,5694
Concept Approved,30 Jul 2014,5694
Project Approved for Implementation,21 Oct 2016,5694
Project closed,,5694
Received by GEF,03 Feb 2014,5695
Preparation Grant Approved,15 Sep 2014,5695
Concept Approved,17 Oct 2014,5695
Project Approved for Implementation,28 Nov 2016,5695
Project closed,,5695
Received by GEF,17 Jan 2014,5688
Preparation Grant Approved,01 Apr 2014,5688
Concept Approved,01 May 2014,5688
Project Approved for Implementation,22 Jun 2016,5688
Project closed,,5688
Received by GEF,27 Jan 2014,5691
Preparation Grant Approved,10 Mar 2014,5691
Concept Approved,10 Mar 2014,5691
Project Approved for Implementation,23 May 2016,5691
Project closed,,5691
Received by GEF,14 Jan 2014,5683
Preparation Grant Approved,05 Feb 2014,5683
Concept Approved,03 Mar 2014,5683
Project Approved for Implementation,25 Mar 2015,5683
Project closed,,5683
Received by GEF,08 Jan 2014,5672
Project Approved for Implementation,29 Jan 2014,5672
Project closed,,5672
Received by GEF,14 Jan 2014,5684
Project Approved for Implementation,10 Mar 2014,5684
Project closed,02 Nov 2015,5684
Received by GEF,14 Jan 2014,5681
Preparation Grant Approved,05 Feb 2014,5681
Concept Approved,03 Mar 2014,5681
Project Approved for Implementation,21 Oct 2016,5681
Project closed,,5681
Received by GEF,06 Nov 2013,5634
Preparation Grant Approved,11 Dec 2013,5634
Concept Approved,11 Dec 2013,5634
Project Approved for Implementation,12 May 2016,5634
Project closed,,5634
Received by GEF,23 Dec 2013,5662
Project Approved for Implementation,11 Feb 2014,5662
Project closed,,5662
Received by GEF,08 Nov 2013,5637
Project Approved for Implementation,04 Dec 2013,5637
Project closed,,5637
Received by GEF,14 Nov 2013,5639
Preparation Grant Approved,08 May 2014,5639
Concept Approved,08 May 2014,5639
Project Approved for Implementation,04 Dec 2015,5639
Project closed,,5639
Received by GEF,18 Dec 2013,5659
Project Approved for Implementation,05 Feb 2014,5659
Project closed,,5659
Received by GEF,03 Dec 2013,5648
Received by GEF,01 Nov 2013,5630
Project Approved for Implementation,06 Feb 2014,5648
Project closed,,5648
Project Approved for Implementation,24 Feb 2014,5630
Project closed,,5630
Received by GEF,01 Nov 2013,5629
Project Approved for Implementation,24 Feb 2014,5629
Project closed,,5629
Project Cancelled,17 Apr 2015,5595
Received by GEF,26 Sep 2013,5600
Project Approved for Implementation,11 Oct 2013,5600
Project closed,,5600
Received by GEF,28 Oct 2013,5626
Project Approved for Implementation,05 Dec 2013,5626
Project closed,,5626
Received by GEF,18 Sep 2013,5590
Project Approved for Implementation,10 Mar 2014,5590
Project closed,,5590
Received by GEF,04 Oct 2013,5607
Project Approved for Implementation,03 Feb 2014,5607
Project closed,,5607
Received by GEF,09 Oct 2013,5618
Project Approved for Implementation,18 Nov 2013,5618
Project closed,,5618
Received by GEF,08 Oct 2013,5612
Project Approved for Implementation,14 Jan 2014,5612
Project closed,01 Apr 2017,5612
Received by GEF,23 Aug 2013,5567
Preparation Grant Approved,07 Nov 2013,5567
Concept Approved,07 Nov 2013,5567
Project Approved for Implementation,20 Dec 2016,5567
Project closed,,5567
Received by GEF,09 Oct 2013,5617
Project Approved for Implementation,29 Oct 2013,5617
Project closed,,5617
Received by GEF,04 Sep 2013,5580
Preparation Grant Approved,02 Jan 2014,5580
Concept Approved,02 Feb 2014,5580
Project Approved for Implementation,26 Jan 2017,5580
Project closed,,5580
Received by GEF,03 Dec 2013,5649
Preparation Grant Approved,08 May 2014,5649
Concept Approved,08 May 2014,5649
Project Approved for Implementation,12 Jul 2016,5649
Project closed,,5649
Received by GEF,05 Nov 2013,5633
Project Approved for Implementation,04 Dec 2013,5633
Project closed,,5633
Received by GEF,18 Jul 2013,5494
Project Approved for Implementation,18 Nov 2013,5494
Project closed,,5494
Received by GEF,13 Aug 2013,5538
Preparation Grant Approved,01 Apr 2014,5538
Concept Approved,01 May 2014,5538
Project Approved for Implementation,03 Nov 2016,5538
Project closed,,5538
Received by GEF,14 Aug 2013,5541
Project Approved for Implementation,25 Mar 2014,5541
Project closed,,5541
Received by GEF,20 Aug 2013,5557
Preparation Grant Approved,12 Sep 2013,5557
Concept Approved,12 Sep 2013,5557
Project Approved for Implementation,29 May 2015,5557
Project closed,,5557
Received by GEF,13 Aug 2013,5537
Preparation Grant Approved,05 Feb 2014,5537
Concept Approved,03 Mar 2014,5537
Project Approved for Implementation,22 Jun 2016,5537
Project closed,,5537
Received by GEF,13 Aug 2013,5532
Preparation Grant Approved,05 Feb 2014,5532
Concept Approved,03 Mar 2014,5532
Project Approved for Implementation,01 Jun 2016,5532
Project closed,,5532
Received by GEF,12 Aug 2013,5523
Preparation Grant Approved,12 Sep 2013,5523
Concept Approved,01 Nov 2013,5523
Project Approved for Implementation,05 Jul 2016,5523
Project closed,,5523
Received by GEF,12 Aug 2013,5525
Project Approved for Implementation,11 Nov 2013,5525
Project closed,,5525
Received by GEF,13 Aug 2013,5531
Preparation Grant Approved,05 Feb 2014,5531
Concept Approved,03 Mar 2014,5531
Project Approved for Implementation,21 Dec 2015,5531
Project closed,,5531
Received by GEF,12 Aug 2013,5528
Preparation Grant Approved,05 Feb 2014,5528
Concept Approved,03 Mar 2014,5528
Project Approved for Implementation,22 Mar 2016,5528
Project closed,,5528
Received by GEF,12 Jul 2013,5483
Concept Approved,16 Aug 2013,5483
Project Approved for Implementation,08 Jul 2015,5483
Project closed,,5483
Received by GEF,28 May 2013,5445
Project Approved for Implementation,05 Jun 2013,5445
Project closed,,5445
Received by GEF,07 May 2013,5425
Project Approved for Implementation,28 May 2013,5425
Project closed,30 Jul 2014,5425
Received by GEF,12 Jun 2013,5456
Preparation Grant Approved,29 Oct 2013,5456
Concept Approved,29 Oct 2013,5456
Project Approved for Implementation,20 Dec 2016,5456
Project closed,,5456
Received by GEF,11 Jun 2013,5454
Preparation Grant Approved,20 Aug 2013,5454
Concept Approved,20 Aug 2013,5454
Project Approved for Implementation,13 Nov 2014,5454
Project closed,,5454
Received by GEF,09 Apr 2013,5400
Preparation Grant Approved,05 Feb 2014,5400
Concept Approved,03 Mar 2014,5400
Project Approved for Implementation,05 Oct 2016,5400
Project closed,,5400
Received by GEF,08 Jul 2013,5480
Project Approved for Implementation,24 Jul 2013,5480
Project closed,,5480
Received by GEF,16 Apr 2013,5409
Project Approved for Implementation,03 Dec 2013,5409
Project closed,,5409
Received by GEF,09 Apr 2013,5403
Preparation Grant Approved,24 Dec 2013,5403
Concept Approved,24 Dec 2013,5403
Project Approved for Implementation,27 Jul 2015,5403
Project closed,,5403
Received by GEF,09 Apr 2013,5401
Preparation Grant Approved,29 Apr 2013,5401
Concept Approved,01 Jun 2013,5401
Project Approved for Implementation,12 Jan 2016,5401
Project closed,,5401
Received by GEF,08 Apr 2013,5392
Preparation Grant Approved,25 Jul 2013,5392
Concept Approved,25 Jul 2013,5392
Project Approved for Implementation,19 Nov 2015,5392
Project closed,,5392
Received by GEF,26 Mar 2013,5352
Received by GEF,08 Apr 2013,5390
Preparation Grant Approved,05 Feb 2014,5352
Concept Approved,01 Mar 2014,5352
Project Approved for Implementation,07 Nov 2016,5352
Preparation Grant Approved,30 Apr 2013,5390
Concept Approved,01 Jun 2013,5390
Project Approved for Implementation,04 Feb 2015,5390
Project closed,,5390
Received by GEF,28 Mar 2013,5356
Project closed,,5352
Preparation Grant Approved,23 Apr 2013,5356
Concept Approved,01 Jun 2013,5356
Project Approved for Implementation,31 Aug 2015,5356
Project closed,,5356
Received by GEF,04 Apr 2013,5367
Preparation Grant Approved,12 Sep 2013,5367
Concept Approved,01 Nov 2013,5367
Project Approved for Implementation,17 Dec 2015,5367
Project closed,,5367
Received by GEF,05 Apr 2013,5386
Preparation Grant Approved,29 May 2013,5386
Concept Approved,29 May 2013,5386
Project Approved for Implementation,04 Mar 2015,5386
Project closed,,5386
Received by GEF,26 Mar 2013,5354
Preparation Grant Approved,10 Jun 2013,5354
Concept Approved,10 Jun 2013,5354
Project Approved for Implementation,21 Sep 2016,5354
Project closed,,5354
Received by GEF,21 Mar 2013,5347
Preparation Grant Approved,23 Apr 2013,5347
Concept Approved,01 Jun 2013,5347
Project Approved for Implementation,23 Feb 2015,5347
Project closed,,5347
Received by GEF,26 Mar 2013,5351
Preparation Grant Approved,12 Sep 2013,5351
Concept Approved,01 Nov 2013,5351
Project Approved for Implementation,07 Sep 2017,5351
Project closed,,5351
Received by GEF,08 Apr 2013,5389
Project Approved for Implementation,07 May 2013,5389
Project closed,,5389
Received by GEF,21 Mar 2013,5346
Project Approved for Implementation,28 Mar 2013,5346
Project closed,,5346
Received by GEF,26 Feb 2013,5313
Project Approved for Implementation,05 Mar 2013,5313
Project closed,,5313
Received by GEF,26 Feb 2013,5311
Project Approved for Implementation,05 Mar 2013,5311
Project closed,31 Dec 2014,5311
Received by GEF,26 Feb 2013,5315
Project Approved for Implementation,05 Mar 2013,5315
Project closed,31 Dec 2014,5315
Received by GEF,12 Feb 2013,5302
Preparation Grant Approved,12 Sep 2013,5302
Concept Approved,12 Sep 2013,5302
Project Approved for Implementation,10 Jul 2014,5302
Project closed,,5302
Received by GEF,11 Feb 2013,5299
Preparation Grant Approved,07 Mar 2013,5299
Concept Approved,01 Apr 2013,5299
Project Approved for Implementation,13 Jun 2016,5299
Project closed,,5299
Received by GEF,08 Feb 2013,5290
Preparation Grant Approved,01 Aug 2013,5290
Concept Approved,01 Aug 2013,5290
Project Approved for Implementation,24 Feb 2017,5290
Received by GEF,08 Feb 2013,5287
Project closed,,5290
Preparation Grant Approved,01 May 2013,5287
Concept Approved,01 May 2013,5287
Project Approved for Implementation,28 Jan 2015,5287
Project closed,15 Sep 2016,5287
Received by GEF,19 Feb 2013,5307
Concept Approved,01 Jun 2013,5307
Project Approved for Implementation,20 Aug 2013,5307
Project closed,,5307
Received by GEF,12 Nov 2012,5203
Preparation Grant Approved,27 Mar 2013,5203
Concept Approved,02 May 2013,5203
Project Approved for Implementation,12 Aug 2015,5203
Project closed,,5203
Received by GEF,08 Feb 2013,5285
Preparation Grant Approved,24 Apr 2013,5285
Concept Approved,01 Jun 2013,5285
Project Approved for Implementation,12 Jul 2016,5285
Project closed,,5285
Received by GEF,21 Nov 2012,5210
Preparation Grant Approved,05 Mar 2013,5210
Concept Approved,05 Mar 2013,5210
Project Approved for Implementation,03 Mar 2016,5210
Project closed,,5210
Received by GEF,19 Nov 2012,5208
Preparation Grant Approved,24 Feb 2014,5208
Concept Approved,03 Mar 2014,5208
Project Approved for Implementation,28 Apr 2016,5208
Project closed,,5208
Received by GEF,13 Dec 2012,5222
Project Approved for Implementation,27 Dec 2012,5222
Project closed,01 Mar 2015,5222
Received by GEF,27 Dec 2012,5230
Preparation Grant Approved,29 Oct 2013,5230
Concept Approved,29 Oct 2013,5230
Project Approved for Implementation,08 Apr 2016,5230
Project closed,,5230
Received by GEF,09 Jan 2013,5237
Concept Approved,01 Apr 2013,5237
Project Approved for Implementation,31 Jul 2014,5237
Project closed,,5237
Received by GEF,01 Feb 2013,5272
Preparation Grant Approved,23 Apr 2013,5272
Concept Approved,01 Jun 2013,5272
Project Approved for Implementation,12 Jul 2016,5272
Project closed,,5272
Received by GEF,07 Feb 2013,5283
Received by GEF,22 Jan 2013,5265
Preparation Grant Approved,01 Apr 2014,5283
Concept Approved,01 May 2014,5283
Project Approved for Implementation,05 Dec 2016,5283
Project Approved for Implementation,19 Feb 2013,5265
Project closed,,5265
Project closed,,5283
Received by GEF,01 Nov 2012,5197
Preparation Grant Approved,13 Jun 2013,5197
Concept Approved,13 Jun 2013,5197
Project Approved for Implementation,08 Jan 2015,5197
Project closed,,5197
Received by GEF,31 Oct 2012,5195
Preparation Grant Approved,20 Feb 2013,5195
Concept Approved,01 Apr 2013,5195
Project Approved for Implementation,15 Sep 2016,5195
Project closed,,5195
Received by GEF,09 Nov 2012,5201
Received by GEF,13 Sep 2012,5138
Preparation Grant Approved,08 May 2014,5201
Concept Approved,08 May 2014,5201
Project Approved for Implementation,22 Jul 2015,5201
Project Approved for Implementation,03 Oct 2012,5138
Project closed,,5138
Project closed,,5201
Received by GEF,18 Sep 2012,5148
Concept Approved,01 Apr 2013,5148
Project Approved for Implementation,,5148
Project closed,,5148
Received by GEF,18 Sep 2012,5150
Preparation Grant Approved,07 Mar 2013,5150
Concept Approved,01 Apr 2013,5150
Project Approved for Implementation,08 Jul 2015,5150
Project closed,,5150
Received by GEF,27 Sep 2012,5172
Project Approved for Implementation,01 Oct 2012,5172
Project closed,31 Aug 2015,5172
Received by GEF,31 Oct 2012,5194
Preparation Grant Approved,26 Mar 2013,5194
Concept Approved,02 May 2013,5194
Project Approved for Implementation,10 Nov 2015,5194
Project closed,,5194
Received by GEF,12 Sep 2012,5137
Preparation Grant Approved,20 Feb 2013,5137
Concept Approved,01 Apr 2013,5137
Project Approved for Implementation,20 Jan 2016,5137
Project closed,,5137
Received by GEF,19 Sep 2012,5152
Preparation Grant Approved,07 Mar 2013,5152
Concept Approved,01 Apr 2013,5152
Project Approved for Implementation,,5152
Project closed,,5152
Received by GEF,11 Sep 2012,5135
Preparation Grant Approved,24 Apr 2013,5135
Concept Approved,01 Jun 2013,5135
Project Approved for Implementation,04 May 2015,5135
Project closed,,5135
Received by GEF,16 Aug 2012,5085
Project Approved for Implementation,20 Aug 2012,5085
Project closed,30 Jun 2016,5085
Received by GEF,06 Sep 2012,5119
Concept Approved,01 Nov 2012,5119
Project Approved for Implementation,10 Apr 2013,5119
Project closed,,5119
Received by GEF,15 Aug 2012,5077
Project Approved for Implementation,30 Aug 2012,5077
Project closed,30 Jun 2014,5077
Received by GEF,11 Sep 2012,5132
Preparation Grant Approved,28 Aug 2013,5132
Concept Approved,01 Jun 2013,5132
Project Approved for Implementation,29 Mar 2016,5132
Project closed,,5132
Received by GEF,15 Aug 2012,5076
Project Approved for Implementation,30 Aug 2012,5076
Project closed,30 Dec 2014,5076
Received by GEF,12 Sep 2012,5136
Project Approved for Implementation,10 Oct 2012,5136
Project closed,,5136
Received by GEF,13 Aug 2012,5071
Preparation Grant Approved,15 Oct 2012,5071
Concept Approved,10 Apr 2013,5071
Project Approved for Implementation,08 Jul 2014,5071
Project closed,,5071
Received by GEF,08 Aug 2012,5060
Preparation Grant Approved,08 Apr 2013,5060
Concept Approved,08 Apr 2013,5060
Project Approved for Implementation,12 May 2014,5060
Project closed,,5060
Received by GEF,06 Aug 2012,5057
Preparation Grant Approved,06 Dec 2012,5057
Concept Approved,01 Nov 2012,5057
Project Approved for Implementation,04 Dec 2014,5057
Project closed,,5057
Received by GEF,31 Jul 2012,5050
Project Approved for Implementation,21 Aug 2012,5050
Project closed,30 Jun 2015,5050
Received by GEF,08 May 2012,4988
Project Approved for Implementation,14 Jun 2012,4988
Project closed,31 Dec 2014,4988
Received by GEF,16 Jul 2012,5042
Received by GEF,,5021
Project Approved for Implementation,20 Aug 2012,5042
Project closed,,5042
Preparation Grant Approved,15 Oct 2012,5021
Concept Approved,30 Nov 2012,5021
Project Approved for Implementation,11 Mar 2014,5021
Project closed,,5021
Received by GEF,16 May 2012,4999
Project Approved for Implementation,18 Jul 2012,4999
Project closed,30 Dec 2015,4999
Received by GEF,08 Jun 2012,5017
Concept Approved,17 Dec 2012,5017
Project Approved for Implementation,02 May 2014,5017
Project closed,,5017
Received by GEF,18 Apr 2012,4970
Preparation Grant Approved,15 Oct 2012,4970
Concept Approved,01 Jun 2012,4970
Project Approved for Implementation,06 Apr 2015,4970
Project closed,,4970
Received by GEF,03 May 2012,4983
Project Approved for Implementation,10 Jul 2012,4983
Project closed,30 Jun 2015,4983
Received by GEF,24 Jul 2012,5047
Project Approved for Implementation,22 Mar 2013,5047
Project closed,,5047
Received by GEF,07 May 2012,4985
Project Approved for Implementation,18 Jul 2012,4985
Project closed,30 Jun 2016,4985
Received by GEF,30 Mar 2012,4930
Preparation Grant Approved,18 Jun 2012,4930
Concept Approved,01 Jun 2012,4930
Project Approved for Implementation,08 Jul 2014,4930
Project closed,,4930
Received by GEF,26 Mar 2012,4909
Concept Approved,01 Jun 2012,4909
Project Approved for Implementation,14 Nov 2013,4909
Project closed,,4909
Received by GEF,02 Apr 2012,4934
Preparation Grant Approved,26 Apr 2012,4934
Concept Approved,01 Jun 2012,4934
Project Approved for Implementation,15 Jan 2013,4934
Project closed,01 Apr 2018,4934
Received by GEF,30 Mar 2012,4932
Preparation Grant Approved,21 Jun 2013,4932
Concept Approved,01 Jun 2012,4932
Project Approved for Implementation,15 Apr 2015,4932
Project closed,,4932
Received by GEF,17 Apr 2012,4962
Received by GEF,03 Apr 2012,4937
Project Approved for Implementation,05 Jul 2012,4962
Project closed,01 Nov 2014,4962
Preparation Grant Approved,19 Apr 2012,4937
Concept Approved,01 Jun 2012,4937
Project Approved for Implementation,05 Dec 2013,4937
Project closed,,4937
Received by GEF,03 Apr 2012,4943
Project Approved for Implementation,30 Jul 2012,4943
Project closed,,4943
Received by GEF,05 Apr 2012,4948
Concept Approved,01 Apr 2013,4948
Project Approved for Implementation,04 Aug 2014,4948
Project closed,,4948
Received by GEF,03 Apr 2012,4940
Preparation Grant Approved,25 Sep 2013,4940
Concept Approved,01 Apr 2013,4940
Project Approved for Implementation,21 Apr 2016,4940
Project closed,,4940
Received by GEF,26 Mar 2012,4905
Preparation Grant Approved,12 Oct 2012,4905
Concept Approved,01 Nov 2012,4905
Project Approved for Implementation,25 Aug 2015,4905
Project closed,,4905
Received by GEF,20 Mar 2012,4881
Concept Approved,01 Nov 2012,4881
Project Approved for Implementation,17 Dec 2014,4881
Project closed,,4881
Received by GEF,12 Mar 2012,4847
Preparation Grant Approved,21 Feb 2013,4847
Concept Approved,01 Apr 2013,4847
Project Approved for Implementation,08 Sep 2015,4847
Project closed,,4847
Received by GEF,21 Mar 2012,4894
Concept Approved,01 Apr 2013,4894
Project Approved for Implementation,15 Dec 2014,4894
Project closed,,4894
Received by GEF,09 Feb 2012,4818
Project Approved for Implementation,16 Apr 2012,4818
Project closed,,4818
Received by GEF,16 Mar 2012,4865
Preparation Grant Approved,20 Feb 2013,4865
Concept Approved,01 Apr 2013,4865
Project Approved for Implementation,24 Dec 2015,4865
Project closed,,4865
Received by GEF,20 Mar 2012,4886
Concept Approved,01 Nov 2012,4886
Project Approved for Implementation,15 Dec 2014,4886
Project closed,,4886
Received by GEF,27 Feb 2012,4829
Received by GEF,26 Mar 2012,4903
Concept Approved,01 Jun 2012,4829
Project Approved for Implementation,17 Jul 2012,4829
Project closed,31 Dec 2018,4829
Project Approved for Implementation,16 Jul 2012,4903
Project closed,,4903
Received by GEF,18 Jan 2012,4806
Project Approved for Implementation,16 Feb 2012,4806
Project closed,31 Dec 2014,4806
Received by GEF,20 Mar 2012,4883
Preparation Grant Approved,20 Apr 2012,4883
Concept Approved,01 Jun 2012,4883
Project Approved for Implementation,03 Apr 2014,4883
Project closed,,4883
Received by GEF,01 Dec 2011,4750
Preparation Grant Approved,12 Jul 2012,4750
Concept Approved,01 Jun 2012,4750
Project Approved for Implementation,19 Mar 2014,4750
Project closed,,4750
Received by GEF,29 Sep 2011,4695
Project Approved for Implementation,27 Mar 2012,4695
Project closed,,4695
Received by GEF,29 Sep 2011,4694
Project Approved for Implementation,21 Mar 2012,4694
Project closed,,4694
Received by GEF,30 Nov 2011,4739
Preparation Grant Approved,05 Feb 2014,4739
Concept Approved,03 Mar 2014,4739
Project Approved for Implementation,03 Feb 2017,4739
Project closed,,4739
Received by GEF,05 Dec 2011,4764
Preparation Grant Approved,13 Apr 2012,4764
Concept Approved,01 Jun 2012,4764
Project Approved for Implementation,,4764
Project closed,,4764
Received by GEF,23 Dec 2011,4796
Preparation Grant Approved,20 Nov 2012,4796
Concept Approved,01 Jun 2012,4796
Project Approved for Implementation,,4796
Project closed,,4796
Received by GEF,29 Sep 2011,4693
Project Approved for Implementation,20 Dec 2011,4693
Project closed,,4693
Received by GEF,21 Sep 2011,4687
Project Approved for Implementation,19 Dec 2011,4687
Project closed,,4687
Received by GEF,22 Dec 2011,4794
Concept Approved,01 Jun 2012,4794
Project Approved for Implementation,07 Mar 2013,4794
Project closed,,4794
Received by GEF,13 Sep 2011,4670
Project Approved for Implementation,21 Nov 2011,4670
Project closed,30 Jun 2014,4670
Received by GEF,14 Sep 2011,4671
Project Approved for Implementation,21 Dec 2011,4671
Project closed,,4671
Received by GEF,12 Sep 2011,4666
Project Approved for Implementation,20 Dec 2011,4666
Project closed,,4666
Received by GEF,21 Sep 2011,4685
Project Approved for Implementation,01 Mar 2012,4685
Project closed,,4685
Received by GEF,13 Sep 2011,4668
Preparation Grant Approved,12 Oct 2012,4668
Concept Approved,01 Jun 2012,4668
Project Approved for Implementation,07 Mar 2016,4668
Project closed,,4668
Received by GEF,21 Sep 2011,4684
Project Approved for Implementation,05 Jan 2012,4684
Project closed,,4684
Received by GEF,22 Dec 2011,4795
Preparation Grant Approved,27 Nov 2012,4795
Concept Approved,01 Jun 2012,4795
Project Approved for Implementation,,4795
Project closed,,4795
Received by GEF,14 Sep 2011,4674
Project Approved for Implementation,16 Mar 2012,4674
Project closed,,4674
Received by GEF,12 Sep 2011,4665
Preparation Grant Approved,17 Jul 2012,4665
Concept Approved,01 Feb 2012,4665
Project Approved for Implementation,,4665
Project closed,,4665
Received by GEF,20 Sep 2011,4682
Preparation Grant Approved,23 Sep 2011,4682
Concept Approved,01 Nov 2011,4682
Project Approved for Implementation,20 Feb 2014,4682
Project closed,,4682
Received by GEF,20 Sep 2011,4681
Project Approved for Implementation,19 Dec 2011,4681
Project closed,,4681
Received by GEF,30 Aug 2011,4618
Preparation Grant Approved,20 Oct 2011,4618
Concept Approved,20 Oct 2011,4618
Project Approved for Implementation,28 May 2013,4618
Project closed,,4618
Received by GEF,12 Sep 2011,4663
Project Approved for Implementation,02 Apr 2012,4663
Project closed,,4663
Received by GEF,01 Sep 2011,4629
Preparation Grant Approved,09 May 2012,4629
Concept Approved,01 Jun 2012,4629
Project Approved for Implementation,18 Aug 2014,4629
Project closed,,4629
Received by GEF,29 Jun 2011,4568
Preparation Grant Approved,23 Jul 2012,4568
Concept Approved,23 Aug 2012,4568
Project Approved for Implementation,31 Jul 2014,4568
Received by GEF,02 Sep 2011,4634
Project closed,,4568
Preparation Grant Approved,24 Jan 2012,4634
Concept Approved,01 Nov 2011,4634
Project Approved for Implementation,12 Dec 2014,4634
Project closed,,4634
Received by GEF,11 Aug 2011,4587
Received by GEF,27 May 2011,4549
Project Approved for Implementation,10 Nov 2011,4587
Project closed,,4587
Received by GEF,18 May 2011,4543
Project Approved for Implementation,15 Sep 2011,4549
Project closed,01 Mar 2013,4549
Project Approved for Implementation,11 Jul 2011,4543
Project closed,31 Dec 2013,4543
Received by GEF,12 Sep 2011,4664
Received by GEF,31 Aug 2011,4623
Preparation Grant Approved,21 Feb 2013,4664
Concept Approved,01 Nov 2011,4664
Project Approved for Implementation,,4664
Project closed,,4664
Concept Approved,01 Nov 2011,4623
Project Approved for Implementation,08 Feb 2012,4623
Project closed,01 Jun 2017,4623
Received by GEF,29 Apr 2011,4527
Project Approved for Implementation,11 May 2011,4527
Project closed,31 Aug 2013,4527
Received by GEF,04 May 2011,4533
Preparation Grant Approved,09 Jan 2012,4533
Concept Approved,01 Feb 2012,4533
Project Approved for Implementation,27 Mar 2014,4533
Project closed,,4533
Received by GEF,20 Apr 2011,4523
Project Approved for Implementation,16 May 2011,4523
Project closed,01 Dec 2013,4523
Received by GEF,31 Mar 2011,4513
Concept Approved,01 Nov 2011,4513
Project Approved for Implementation,19 Jan 2012,4513
Project closed,01 Jun 2017,4513
Received by GEF,22 Mar 2011,4498
Concept Approved,01 Nov 2011,4498
Project Approved for Implementation,15 Mar 2012,4498
Project closed,31 Mar 2015,4498
Received by GEF,20 Apr 2011,4525
Project Approved for Implementation,16 May 2011,4525
Project closed,01 Dec 2013,4525
Received by GEF,20 Apr 2011,4524
Project Approved for Implementation,16 May 2011,4524
Project closed,01 Dec 2013,4524
Received by GEF,03 Feb 2011,4452
Preparation Grant Approved,11 Oct 2011,4452
Concept Approved,01 Nov 2011,4452
Project Approved for Implementation,20 Feb 2014,4452
Project closed,,4452
Received by GEF,18 Mar 2011,4489
Preparation Grant Approved,03 May 2012,4489
Concept Approved,01 Feb 2012,4489
Project Approved for Implementation,19 Dec 2012,4489
Project closed,31 Jul 2016,4489
Received by GEF,04 Feb 2011,4464
Preparation Grant Approved,30 Mar 2011,4464
Concept Approved,01 May 2011,4464
Project Approved for Implementation,08 Apr 2013,4464
Project closed,30 Jun 2019,4464
Received by GEF,25 Feb 2010,4227
Preparation Grant Approved,30 Jul 2010,4227
Concept Approved,23 Aug 2010,4227
Project Approved for Implementation,17 Oct 2012,4227
Project closed,01 Dec 2018,4227
Received by GEF,23 Nov 2010,4415
Project Approved for Implementation,04 Feb 2011,4415
Project closed,01 Mar 2013,4415
Received by GEF,31 Mar 2010,4235
Preparation Grant Approved,26 Apr 2010,4235
Concept Approved,26 Apr 2010,4235
Project Approved for Implementation,27 May 2011,4235
Project closed,31 Aug 2014,4235
Received by GEF,28 Apr 2010,4256
Concept Approved,28 Apr 2010,4256
Project Approved for Implementation,14 May 2010,4256
Project closed,31 May 2011,4256
Received by GEF,29 Sep 2009,4171
Received by GEF,20 Apr 2010,4254
Preparation Grant Approved,20 Jan 2010,4171
Concept Approved,31 Mar 2010,4171
Project Approved for Implementation,27 Aug 2012,4171
Project closed,31 Oct 2016,4171
Preparation Grant Approved,06 May 2010,4254
Concept Approved,30 Jun 2010,4254
Project Approved for Implementation,16 Oct 2012,4254
Project closed,30 Nov 2015,4254
Received by GEF,29 Dec 2009,4212
Preparation Grant Approved,23 Jun 2010,4212
Concept Approved,30 Jun 2010,4212
Project Approved for Implementation,04 Aug 2011,4212
Project closed,30 Jun 2018,4212
Received by GEF,17 Nov 2009,4173
Preparation Grant Approved,29 Apr 2010,4173
Concept Approved,30 Jun 2010,4173
Project Approved for Implementation,12 Sep 2012,4173
Project closed,30 Nov 2016,4173
Received by GEF,03 May 2010,4259
Project Approved for Implementation,03 Apr 2014,4259
Project closed,30 Sep 2014,4259
Received by GEF,04 Sep 2009,4086
Preparation Grant Approved,28 Sep 2009,4086
